loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
70,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000, Rejected
71,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000, Rejected
72,5, Not Graduate, No,5000000,11200000,8,701,9100000,500000,14000000,4600000, Approved
73,2, Graduate, No,3000000,7700000,12,890,4700000,4300000,8400000,2100000, Approved
74,5, Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000, Rejected
75,5, Graduate, Yes,700000,1300000,20,704,1600000,0,2200000,600000, Approved
76,3, Graduate, Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000, Rejected
77,5, Not Graduate, No,3100000,9600000,2,761,5800000,1800000,10400000,4200000, Approved
78,4, Not Graduate, No,4500000,15100000,6,693,3700000,1500000,17800000,6000000, Approved
79,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000, Approved
80,0, Not Graduate, No,1900000,4100000,18,801,400000,800000,4800000,1200000, Approved
81,3, Not Graduate, Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000, Approved
82,2, Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000, Rejected
83,5, Not Graduate, Yes,2400000,8600000,8,309,500000,600000,5700000,2800000, Rejected
84,5, Graduate, No,3800000,13900000,12,534,4700000,2900000,8200000,2800000, Rejected
85,2, Not Graduate, No,7500000,23100000,4,824,12100000,10900000,26300000,9500000, Approved
86,3, Graduate, Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000, Approved
87,1, Not Graduate, No,7400000,19800000,18,458,12600000,6200000,27700000,4000000, Rejected
88,1, Graduate, No,800000,2900000,8,682,2200000,1100000,2900000,700000, Approved
89,2, Graduate, No,4800000,13200000,2,583,13700000,5800000,9500000,5200000, Approved
90,5, Not Graduate, No,6400000,18300000,8,697,10000000,3600000,22500000,3600000, Approved
91,4, Not Graduate, Yes,400000,1500000,2,669,-100000,600000,900000,500000, Approved
92,2, Not Graduate, No,2800000,6000000,18,816,6300000,4200000,8000000,3400000, Approved
93,4, Not Graduate, Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000, Rejected
94,4, Not Graduate, Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000, Rejected
95,2, Graduate, No,500000,1500000,2,888,1500000,300000,1500000,600000, Approved
96,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000, Rejected
97,4, Not Graduate, Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000, Approved
98,0, Graduate, No,7100000,15400000,18,707,10300000,10800000,19600000,5800000, Approved
99,3, Graduate, No,1400000,3300000,2,652,100000,2100000,3500000,1900000, Approved
100,3, Graduate, No,7800000,15900000,2,665,14400000,900000,27200000,5400000, Approved
101,5, Not Graduate, Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000, Rejected
102,5, Not Graduate, No,1900000,7500000,20,715,5100000,2800000,6500000,2800000, Approved
103,2, Not Graduate, Yes,6700000,15200000,10,689,0,8200000,15000000,6800000, Approved
104,1, Not Graduate, Yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000, Approved
105,4, Not Graduate, Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000, Rejected
106,0, Not Graduate, No,5200000,15600000,20,434,14100000,5800000,18100000,5500000, Rejected
107,4, Graduate, No,7200000,19100000,4,774,9400000,7000000,17900000,3600000, Approved
108,1, Not Graduate, Yes,8700000,27000000,10,717,25500000,8600000,17500000,9100000, Approved
109,3, Not Graduate, Yes,1100000,3500000,12,503,3000000,400000,2200000,1200000, Rejected
110,1, Graduate, Yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000, Approved
111,2, Graduate, No,9800000,32400000,2,543,24200000,17500000,25700000,7700000, Approved
112,0, Not Graduate, Yes,2700000,6800000,20,796,700000,4200000,7000000,1900000, Approved
113,1, Graduate, Yes,6900000,23400000,4,481,18700000,1100000,23400000,10200000, Approved
114,5, Graduate, Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000, Rejected
115,2, Graduate, No,9600000,22500000,18,851,7400000,16200000,24300000,12700000, Approved
116,1, Not Graduate, Yes,8200000,32400000,18,831,22800000,12300000,17700000,7800000, Approved
117,1, Not Graduate, Yes,8000000,28100000,18,725,1900000,12800000,23000000,7500000, Approved
118,0, Not Graduate, Yes,9400000,27000000,10,536,4400000,1700000,33800000,4800000, Rejected
119,0, Graduate, No,8800000,30900000,12,729,1700000,700000,25700000,11400000, Approved
120,2, Not Graduate, No,2100000,4700000,2,546,6000000,3200000,5700000,1500000, Rejected
121,3, Graduate, Yes,9800000,35400000,6,869,14400000,16400000,22800000,10300000, Approved
122,2, Not Graduate, No,8000000,20000000,2,502,4100000,2200000,31600000,9900000, Rejected
123,0, Not Graduate, Yes,300000,1100000,8,789,400000,100000,800000,400000, Approved
124,4, Not Graduate, No,2700000,8100000,4,325,5000000,800000,9900000,3400000, Approved
125,3, Graduate, No,9200000,34300000,18,523,25600000,4000000,29100000,8800000, Rejected
126,0, Graduate, No,8600000,20900000,10,813,11300000,11900000,26000000,4800000, Approved
127,0, Not Graduate, No,5400000,16800000,10,599,5300000,7400000,14500000,7600000, Approved
128,1, Graduate, Yes,5900000,16700000,16,308,5800000,8800000,19100000,5300000, Rejected
129,3, Graduate, Yes,1700000,4900000,16,591,4700000,1000000,4300000,1400000, Approved
130,1, Graduate, No,6900000,22500000,18,403,800000,8400000,16900000,6300000, Rejected
131,0, Graduate, Yes,2800000,7800000,10,405,7800000,2500000,7100000,3400000, Rejected
132,1, Not Graduate, No,4700000,14000000,6,468,11300000,1800000,10600000,4600000, Rejected
133,5, Graduate, Yes,3000000,11800000,10,672,8700000,3600000,9800000,4100000, Approved
134,1, Not Graduate, Yes,7700000,25500000,12,549,18100000,10600000,20500000,7000000, Rejected
135,5, Not Graduate, Yes,4300000,9300000,10,450,2100000,6700000,10000000,4100000, Rejected
136,1, Graduate, Yes,5800000,19500000,20,431,13800000,5000000,15600000,3300000, Rejected
137,0, Graduate, No,8800000,20200000,4,433,16000000,4200000,30500000,12400000, Rejected
138,5, Graduate, No,800000,2600000,6,560,100000,200000,3000000,1000000, Approved
139,2, Graduate, No,8000000,27100000,12,674,14400000,400000,25300000,6400000, Approved
140,0, Not Graduate, Yes,9900000,38200000,6,573,17200000,10000000,20100000,5900000, Approved
141,2, Not Graduate, No,3300000,6600000,6,331,6300000,2000000,8900000,2700000, Rejected
142,5, Not Graduate, Yes,9200000,23600000,12,656,1400000,11200000,36400000,4900000, Approved
143,0, Not Graduate, No,7500000,18200000,6,782,7400000,12000000,19800000,4100000, Approved
144,5, Not Graduate, No,9000000,29300000,4,531,10400000,9500000,35500000,5800000, Approved
145,2, Graduate, No,8400000,33200000,14,474,19600000,15000000,25400000,11500000, Rejected
146,4, Graduate, No,5900000,16800000,8,481,6900000,11400000,19500000,3300000, Rejected
147,4, Not Graduate, No,9800000,28700000,6,778,16600000,7400000,29700000,11100000, Approved
148,4, Graduate, No,4400000,14600000,4,499,1300000,6500000,16100000,5700000, Approved
149,1, Graduate, No,4400000,10800000,12,674,9600000,2700000,17200000,5300000, Approved
150,4, Not Graduate, Yes,2300000,7800000,8,540,1500000,3400000,4700000,2800000, Rejected
151,4, Graduate, Yes,5900000,19600000,8,726,17400000,6800000,20100000,8000000, Approved
152,3, Not Graduate, Yes,9500000,24200000,8,879,3100000,17200000,26400000,12700000, Approved
153,2, Not Graduate, Yes,2700000,5700000,8,850,3500000,5000000,10500000,3900000, Approved
154,2, Not Graduate, Yes,3900000,11300000,12,516,3100000,0,10400000,4600000, Rejected
155,0, Graduate, No,1100000,3200000,20,716,1800000,1400000,3600000,1500000, Approved
156,4, Not Graduate, No,200000,600000,10,404,0,100000,400000,0, Rejected
157,0, Not Graduate, Yes,4700000,10600000,20,512,8400000,4000000,12300000,7000000, Rejected
158,3, Not Graduate, Yes,8200000,20600000,10,441,16100000,11400000,29100000,6100000, Rejected
159,2, Not Graduate, Yes,4600000,18400000,2,555,7700000,2400000,14200000,4200000, Approved
160,4, Not Graduate, Yes,5500000,20000000,14,593,15100000,2700000,19900000,4900000, Approved
161,1, Graduate, Yes,4000000,10100000,16,451,7000000,3900000,14300000,3900000, Rejected
162,3, Not Graduate, Yes,6800000,16900000,18,628,3600000,900000,15600000,4900000, Approved
163,1, Not Graduate, No,2700000,9400000,18,704,5300000,2300000,6400000,2400000, Approved
164,5, Graduate, No,8600000,21000000,8,465,11700000,14900000,19500000,9900000, Rejected
165,4, Graduate, No,8000000,30100000,4,431,11900000,13800000,18800000,11500000, Approved
166,4, Graduate, No,4200000,16800000,6,381,9600000,3800000,14800000,5900000, Rejected
167,5, Graduate, Yes,8000000,28000000,10,449,18500000,1500000,17400000,3900000, Rejected
168,1, Not Graduate, No,7100000,23500000,12,768,6400000,12100000,22400000,7300000, Approved
169,3, Not Graduate, Yes,6700000,15800000,4,445,10500000,7600000,14100000,9100000, Rejected
170,0, Graduate, No,3000000,7000000,10,781,7200000,600000,11700000,2700000, Approved
171,4, Not Graduate, No,7900000,17200000,14,318,14200000,9500000,23200000,9000000, Rejected
172,5, Not Graduate, No,3700000,9800000,4,563,9500000,5100000,11200000,3000000, Approved
173,0, Graduate, Yes,8200000,20800000,14,372,3800000,100000,26100000,5200000, Rejected
174,0, Not Graduate, No,2900000,9500000,18,885,4300000,2300000,6500000,3500000, Approved
175,1, Not Graduate, Yes,9900000,38400000,12,596,10000000,9300000,36500000,6800000, Approved
176,0, Graduate, No,4400000,14100000,2,349,3300000,1300000,8800000,6200000, Approved
177,2, Not Graduate, No,8700000,28000000,12,543,16900000,6000000,22900000,6700000, Rejected
178,3, Graduate, No,9400000,21900000,16,685,8100000,5600000,34500000,5000000, Approved
179,3, Graduate, Yes,900000,2300000,20,611,600000,1500000,1900000,500000, Approved
180,4, Not Graduate, No,2100000,7700000,4,767,1200000,1700000,6900000,1300000, Approved
181,5, Graduate, Yes,1100000,3200000,20,592,3200000,700000,3500000,500000, Approved
182,0, Graduate, Yes,600000,2300000,4,319,1600000,800000,2300000,700000, Approved
183,4, Not Graduate, Yes,9200000,25500000,10,900,9400000,10500000,27400000,12800000, Approved
184,5, Not Graduate, Yes,1300000,5000000,10,755,2100000,2200000,4800000,1900000, Approved
185,0, Graduate, No,5300000,17900000,6,678,4700000,3900000,14400000,3600000, Approved
186,3, Not Graduate, No,3200000,10800000,4,833,2600000,1000000,8700000,2600000, Approved
187,1, Graduate, No,2300000,6600000,2,357,5900000,200000,6000000,2200000, Rejected
188,0, Graduate, Yes,6200000,22400000,18,873,15700000,6600000,15800000,8200000, Approved
189,5, Graduate, Yes,2400000,8700000,18,877,2800000,2900000,7100000,1100000, Approved
190,3, Not Graduate, No,2900000,6300000,8,648,3400000,3400000,7600000,1400000, Approved
191,2, Graduate, Yes,800000,3200000,10,584,0,200000,2100000,700000, Rejected
192,2, Not Graduate, No,8400000,25900000,16,621,8600000,13400000,33500000,4200000, Approved
193,4, Graduate, No,5400000,15700000,18,452,13700000,2600000,16500000,6600000, Rejected
194,5, Graduate, No,3700000,7300000,18,339,9300000,100000,13900000,5300000, Rejected
195,4, Not Graduate, Yes,200000,700000,10,672,200000,200000,300000,300000, Approved
196,3, Graduate, No,500000,1000000,20,501,800000,800000,900000,200000, Rejected
197,2, Not Graduate, Yes,1800000,5700000,4,809,1200000,1900000,6300000,2400000, Approved
198,4, Not Graduate, No,900000,3300000,10,649,0,400000,1800000,1200000, Approved
199,5, Not Graduate, No,3000000,11800000,6,847,8200000,2200000,7100000,2300000, Approved
200,1, Graduate, Yes,3500000,7200000,2,865,4100000,3200000,11900000,4200000, Approved
201,4, Not Graduate, No,4900000,18800000,16,880,4200000,4700000,13200000,2600000, Approved
202,3, Graduate, Yes,1700000,4600000,12,385,1500000,1300000,5200000,1700000, Rejected
203,1, Graduate, Yes,2100000,7700000,16,327,5000000,500000,4700000,2300000, Rejected
204,0, Graduate, No,3100000,9300000,6,663,1300000,1400000,8100000,3800000, Approved
205,2, Not Graduate, Yes,1700000,3500000,20,693,2200000,1400000,4800000,1700000, Approved
206,3, Graduate, No,1700000,5400000,6,710,4800000,700000,5800000,1700000, Approved
207,4, Graduate, Yes,6100000,15300000,14,573,1100000,9900000,13300000,8400000, Approved
208,4, Not Graduate, Yes,400000,900000,20,771,1000000,500000,1600000,500000, Approved
209,1, Graduate, No,1100000,3500000,8,562,2300000,1200000,3200000,500000, Approved
210,3, Not Graduate, No,5600000,18700000,2,769,8000000,8200000,17300000,4800000, Approved
211,3, Graduate, No,8800000,18100000,6,699,6400000,2100000,18500000,9400000, Approved
212,0, Not Graduate, No,8400000,20800000,20,590,5100000,8900000,32100000,10800000, Approved
213,3, Not Graduate, Yes,4500000,11400000,8,391,8500000,6800000,9900000,4500000, Rejected
214,5, Not Graduate, No,6500000,18500000,4,891,13600000,3300000,23600000,7100000, Approved
215,5, Graduate, Yes,9600000,32400000,2,897,3500000,15400000,26800000,6200000, Approved
216,5, Graduate, No,8000000,26700000,20,794,8000000,14700000,29900000,7800000, Approved
217,2, Not Graduate, No,700000,1700000,10,839,100000,700000,2000000,900000, Approved
218,4, Graduate, No,4700000,15700000,4,868,3300000,2500000,13800000,4800000, Approved
219,3, Graduate, Yes,2900000,5800000,12,353,8400000,2600000,10100000,3100000, Rejected
220,5, Graduate, Yes,500000,900000,18,618,1400000,600000,1200000,400000, Approved
221,2, Not Graduate, Yes,700000,1700000,10,539,1400000,1000000,1900000,900000, Rejected
222,0, Graduate, No,6800000,27000000,4,429,17100000,7600000,21400000,9400000, Approved
223,2, Graduate, No,1800000,4700000,8,792,4500000,1200000,4100000,2200000, Approved
224,0, Not Graduate, No,6000000,12400000,2,608,3000000,2100000,17900000,6800000, Approved
225,0, Graduate, No,7400000,20900000,6,635,15600000,14000000,21000000,7200000, Approved
226,2, Graduate, No,3200000,12500000,10,457,6100000,2000000,8200000,4300000, Rejected
227,5, Graduate, Yes,1000000,2500000,14,885,2200000,100000,2300000,1100000, Approved
228,5, Not Graduate, Yes,5500000,17300000,16,874,1000000,2900000,13700000,7900000, Approved
229,5, Not Graduate, Yes,500000,1800000,18,411,1000000,500000,1300000,200000, Rejected
230,0, Not Graduate, Yes,300000,1100000,2,482,200000,100000,1100000,400000, Approved
231,1, Graduate, Yes,6200000,16900000,2,396,10600000,7500000,23700000,7600000, Rejected
232,0, Not Graduate, No,300000,900000,20,436,0,400000,600000,200000, Rejected
233,0, Not Graduate, Yes,6900000,22100000,20,303,13600000,4600000,22000000,6900000, Rejected
234,4, Graduate, No,3700000,11400000,12,728,4200000,5800000,7300000,2300000, Approved
235,5, Graduate, Yes,8200000,23500000,12,402,15100000,1500000,24300000,5800000, Rejected
236,1, Not Graduate, Yes,9200000,31500000,18,698,5300000,6100000,20400000,8300000, Approved
237,0, Not Graduate, No,2400000,7800000,14,665,5200000,2900000,6200000,2900000, Approved
238,4, Not Graduate, No,4100000,13500000,18,490,4700000,6200000,13900000,2000000, Rejected
239,1, Graduate, No,8000000,31900000,12,504,23800000,1500000,22100000,6000000, Rejected
240,4, Not Graduate, No,8300000,30700000,6,381,21700000,2300000,26700000,4600000, Rejected
241,3, Graduate, Yes,1000000,3500000,16,834,800000,1700000,3000000,700000, Approved
242,2, Graduate, Yes,8600000,28800000,8,890,23300000,5900000,21200000,7200000, Approved
243,1, Not Graduate, Yes,8400000,24700000,18,698,23000000,13200000,32700000,12200000, Approved
244,2, Graduate, No,200000,700000,8,851,400000,200000,800000,200000, Approved
245,0, Graduate, Yes,4300000,14300000,14,601,3800000,900000,16700000,5700000, Approved
246,4, Not Graduate, No,2200000,7000000,20,756,3600000,3900000,5700000,1200000, Approved
247,4, Not Graduate, Yes,4200000,15900000,14,375,7200000,7900000,16200000,3000000, Rejected
248,0, Not Graduate, Yes,5100000,12500000,18,778,3300000,1000000,14800000,3200000, Approved
249,3, Graduate, Yes,3400000,9700000,20,728,1500000,1500000,7300000,2400000, Approved
250,3, Graduate, Yes,8900000,18500000,10,367,6100000,0,32000000,10300000, Rejected
251,4, Graduate, Yes,2900000,10500000,8,607,4400000,5500000,7600000,3800000, Approved
252,3, Not Graduate, No,7200000,21200000,4,711,10800000,4200000,24900000,5700000, Approved
253,1, Not Graduate, Yes,8700000,20500000,6,523,19300000,6500000,23700000,4800000, Rejected
254,0, Graduate, Yes,6900000,17000000,20,599,18100000,9400000,26600000,4300000, Approved
255,1, Not Graduate, Yes,2100000,4900000,10,744,200000,2000000,5400000,1000000, Approved
256,2, Graduate, Yes,7200000,23900000,4,559,4200000,12200000,17800000,10800000, Approved
257,2, Graduate, Yes,4400000,10000000,20,516,7400000,7600000,12200000,5100000, Rejected
258,2, Not Graduate, No,3700000,14100000,6,633,800000,200000,11300000,3400000, Approved
259,3, Not Graduate, Yes,3400000,13200000,8,783,6500000,300000,13000000,4900000, Approved
260,3, Not Graduate, Yes,1000000,3200000,14,790,1900000,100000,3600000,1100000, Approved
261,1, Not Graduate, Yes,4400000,14200000,16,409,12700000,1300000,12600000,4500000, Rejected
262,0, Not Graduate, No,5300000,10900000,18,707,12900000,2600000,12700000,7600000, Approved
263,3, Graduate, Yes,9400000,20500000,6,645,17400000,13000000,24500000,10200000, Approved
264,2, Not Graduate, Yes,5800000,22500000,6,888,11900000,2600000,17100000,4800000, Approved
265,2, Not Graduate, No,3100000,10400000,10,420,6900000,5900000,10000000,3500000, Rejected
266,5, Not Graduate, No,4600000,16200000,12,891,5900000,1200000,10800000,3700000, Approved
267,2, Not Graduate, Yes,200000,700000,16,641,600000,200000,600000,100000, Approved
268,4, Not Graduate, Yes,9700000,32300000,18,387,11600000,14300000,20000000,5400000, Rejected
269,5, Graduate, Yes,4200000,12300000,2,686,10500000,200000,15600000,4200000, Approved
270,4, Graduate, No,8000000,25500000,4,722,17200000,13900000,26200000,4900000, Approved
271,4, Graduate, No,5200000,20400000,20,761,4700000,1600000,14300000,6200000, Approved
272,5, Graduate, No,2000000,6100000,2,407,1900000,1900000,4600000,2000000, Approved
273,2, Not Graduate, No,2800000,5900000,6,895,1000000,3900000,10900000,1500000, Approved
274,4, Graduate, No,1900000,4300000,4,826,2400000,0,7000000,900000, Approved
275,1, Graduate, No,2300000,7200000,8,453,3000000,2100000,8100000,3400000, Rejected
276,2, Not Graduate, Yes,1300000,2700000,8,627,100000,300000,2600000,1300000, Approved
277,3, Graduate, No,3100000,11000000,2,543,5900000,2200000,9000000,2400000, Approved
278,3, Not Graduate, No,2400000,8600000,8,684,3400000,2400000,6200000,1600000, Approved
279,1, Graduate, No,2900000,10900000,20,445,6600000,2800000,9300000,2600000, Rejected
280,4, Graduate, Yes,8900000,26300000,10,369,23900000,7000000,27400000,12100000, Rejected
281,1, Not Graduate, No,8800000,22200000,18,794,8400000,11900000,21000000,10500000, Approved
282,0, Graduate, Yes,8200000,19200000,16,492,16500000,9200000,20000000,7200000, Rejected
283,4, Graduate, Yes,9500000,31800000,6,519,5900000,1300000,28400000,12200000, Rejected
284,0, Not Graduate, Yes,1900000,5700000,18,699,5500000,200000,6500000,2000000, Approved
285,1, Graduate, No,9300000,28600000,14,656,17300000,9100000,27400000,12500000, Approved
286,4, Graduate, Yes,3900000,10600000,2,439,300000,7600000,14800000,2500000, Rejected
287,5, Not Graduate, Yes,1500000,4000000,12,350,2900000,1900000,4400000,1200000, Rejected
288,2, Graduate, No,4400000,12500000,18,492,7900000,1200000,10100000,2700000, Rejected
289,4, Graduate, Yes,2700000,5400000,6,861,6300000,2400000,6700000,2700000, Approved
290,3, Not Graduate, Yes,4200000,9700000,2,396,700000,8200000,8600000,4300000, Rejected
291,5, Graduate, Yes,3700000,10000000,20,709,8000000,800000,12000000,2200000, Approved
292,2, Graduate, Yes,4300000,16000000,14,623,9800000,6700000,17000000,4500000, Approved
293,4, Not Graduate, Yes,7100000,24500000,14,599,9100000,7000000,20400000,6800000, Approved
294,4, Graduate, Yes,5400000,12700000,4,622,11000000,3300000,15100000,6500000, Approved
295,4, Graduate, Yes,4100000,12500000,2,579,10900000,7200000,12200000,2000000, Approved
296,3, Graduate, No,8100000,23900000,10,449,7100000,6100000,28300000,8900000, Rejected
297,1, Not Graduate, No,7200000,24900000,14,666,3600000,11600000,16600000,5800000, Approved
298,1, Graduate, No,6200000,19500000,12,845,9100000,2900000,15300000,4000000, Approved
299,3, Not Graduate, No,5200000,17300000,10,401,2600000,1400000,12700000,6400000, Rejected
300,0, Not Graduate, No,4500000,14500000,2,766,6100000,8400000,17200000,6600000, Approved
301,5, Not Graduate, No,5400000,15100000,12,522,5200000,4700000,13900000,5700000, Rejected
302,3, Graduate, No,8900000,25400000,8,588,19400000,12100000,18800000,4500000, Approved
303,2, Graduate, No,5000000,10600000,4,570,11900000,900000,14800000,7100000, Approved
304,2, Graduate, No,4900000,17600000,6,860,13600000,7500000,12700000,5600000, Approved
305,4, Graduate, Yes,5300000,19200000,4,655,14200000,6900000,17800000,3900000, Approved
306,3, Not Graduate, Yes,5900000,18900000,4,742,10800000,4500000,23200000,8000000, Approved
307,3, Graduate, No,3500000,13300000,4,798,7400000,5300000,12100000,3600000, Approved
308,1, Not Graduate, Yes,9000000,29900000,2,668,22100000,7200000,24400000,4700000, Approved
309,4, Not Graduate, Yes,8100000,18000000,8,817,1400000,7800000,16900000,10800000, Approved
